,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15
0.298,-18.44676555,-3.748120776,-1.842828058,-0.740529319,-0.342882033,-0.341680241,-0.316176824,-0.189495133,-0.135260949,-0.146002185,-0.126339855,-0.103896868,-0.090002078,-0.083204198,-0.095154599
0.302,-18.38349262,-3.740603526,-1.738420403,-0.736077327,-0.320515666,-0.337905459,-0.307606217,-0.181100543,-0.131860911,-0.143745813,-0.125981186,-0.099385562,-0.083599386,-0.081765157,-0.091335858
0.306,-18.12990153,-3.730413019,-1.72491516,-0.718590895,-0.317709378,-0.333627928,-0.306732269,-0.176646887,-0.129496617,-0.141699986,-0.125956634,-0.096914434,-0.083067992,-0.076340543,-0.088892453
0.311,-18.05697791,-3.681488912,-1.721693286,-0.708696037,-0.313318714,-0.327540996,-0.299924422,-0.168178015,-0.127880595,-0.137601355,-0.125714093,-0.093829974,-0.08170555,-0.075446349,-0.084581259
0.315,-17.94542924,-3.59545251,-1.703220244,-0.705534501,-0.308015271,-0.326021339,-0.289689689,-0.162317902,-0.123689238,-0.13392332,-0.125712069,-0.089046367,-0.081360396,-0.074860105,-0.083325015
0.319,-15.79625791,-3.460423176,-1.674753095,-0.705419769,-0.298488885,-0.311550891,-0.271766758,-0.162143381,-0.12346152,-0.127641542,-0.125573414,-0.08440646,-0.080406642,-0.071805249,-0.08232949
0.323,-15.42390578,-3.373217533,-1.61953027,-0.668998703,-0.293343145,-0.301127224,-0.2588509,-0.148361371,-0.115291448,-0.117974695,-0.121596079,-0.082661373,-0.080060323,-0.069018674,-0.079791511
0.328,-15.23210089,-3.367086343,-1.602638062,-0.650789915,-0.292759842,-0.29737452,-0.255356153,-0.146787687,-0.112854116,-0.117535058,-0.120660097,-0.082006484,-0.078675969,-0.06750598,-0.079757188
0.332,-15.10358308,-3.320890739,-1.5476674,-0.648329398,-0.280858715,-0.279047531,-0.251502023,-0.143900655,-0.104767391,-0.115622754,-0.119566303,-0.081413424,-0.076846512,-0.065234901,-0.07940601
0.336,-14.99349547,-3.250575572,-1.459814503,-0.641145489,-0.264962568,-0.271279802,-0.231386548,-0.133206724,-0.103870132,-0.114351504,-0.119261064,-0.079910304,-0.074496325,-0.061426614,-0.078848758
0.340,-14.88950761,-3.186412771,-1.457747343,-0.614165721,-0.219708877,-0.270430736,-0.229080977,-0.126235041,-0.102384663,-0.113205664,-0.119027873,-0.07908686,-0.072948187,-0.059857254,-0.077577721
0.345,-14.86537729,-3.066458564,-1.432191707,-0.611201073,-0.191227456,-0.25987765,-0.219833185,-0.125521022,-0.09927646,-0.110716503,-0.118839412,-0.07905535,-0.07260374,-0.058914792,-0.073762746
0.349,-14.83074749,-3.018520902,-1.390533795,-0.592139308,-0.182174457,-0.254753843,-0.216824374,-0.123054725,-0.098908054,-0.109096245,-0.117553001,-0.077091882,-0.07095666,-0.055400105,-0.070256205
0.353,-14.66256063,-2.96268607,-1.38191464,-0.575667383,-0.162177238,-0.251267718,-0.215140508,-0.122042036,-0.080151765,-0.102842843,-0.115152171,-0.072763634,-0.070839138,-0.052832938,-0.069565059
0.357,-14.0716976,-2.886428784,-1.368104454,-0.567507602,-0.138615836,-0.241231763,-0.213559985,-0.116161382,-0.079256562,-0.101465023,-0.114585135,-0.071047291,-0.06843504,-0.052601785,-0.068069324
0.362,-12.50639054,-2.845124079,-1.363736608,-0.554292236,-0.131551393,-0.238486389,-0.210618917,-0.116099749,-0.078211323,-0.100055592,-0.11316241,-0.070598503,-0.068033884,-0.052390361,-0.06784591
0.366,-12.20584659,-2.671524727,-1.320990589,-0.553813934,-0.129977162,-0.228504914,-0.209037869,-0.099596201,-0.072551716,-0.09863469,-0.111229609,-0.064448583,-0.067371469,-0.051804265,-0.066423352
0.370,-12.05896572,-2.657868577,-1.317624261,-0.549692924,-0.11429641,-0.228380007,-0.195055507,-0.09369737,-0.071622122,-0.096381773,-0.109099437,-0.063823613,-0.066064209,-0.048145336,-0.065757629
0.374,-11.92968936,-2.540352541,-1.312345381,-0.548251026,-0.10933156,-0.222939517,-0.185410547,-0.091254505,-0.069558512,-0.096322441,-0.108454697,-0.06234037,-0.060649696,-0.041293909,-0.058048036
0.379,-11.82003713,-2.521586215,-1.255417692,-0.519447874,-0.103871923,-0.22103687,-0.167509642,-0.085447738,-0.066106354,-0.093882125,-0.107118291,-0.05544317,-0.060471192,-0.040340873,-0.056479713
0.383,-10.71956494,-2.487576111,-1.196753063,-0.515483662,-0.090212432,-0.205834043,-0.161640247,-0.081058597,-0.065991416,-0.093058206,-0.106352281,-0.05446709,-0.055426465,-0.039451096,-0.055562975
0.387,-9.088635398,-2.464008316,-1.160221517,-0.496578581,-0.070600703,-0.193570631,-0.142998225,-0.079400959,-0.065665819,-0.08981237,-0.105462135,-0.041366221,-0.05329154,-0.038932096,-0.054745391
